"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"PB";251260;"Quixabá";13;11;118;"SIM";118;"ALCANÇOU"
"PB";251270;"Remígio";140;142;99;"SIM";99;"ALCANÇOU"
"PB";251272;"Pedro Régis";34;43;79;"NÃO";79;"NÃO ALCANÇOU"
"PB";251274;"Riachão";22;17;129;"SIM";129;"ALCANÇOU"
"PB";251275;"Riachão do Bacamarte";35;30;117;"SIM";117;"ALCANÇOU"
"PB";251276;"Riachão do Poço";28;15;187;"SIM";187;"ALCANÇOU"
"PB";251278;"Riacho de Santo Antônio";17;14;121;"SIM";121;"ALCANÇOU"
"PB";251280;"Riacho dos Cavalos";46;64;72;"NÃO";72;"NÃO ALCANÇOU"
"PB";251290;"Rio Tinto";131;166;79;"NÃO";79;"NÃO ALCANÇOU"
"PB";251300;"Salgadinho";21;21;100;"SIM";100;"ALCANÇOU"
"PB";251310;"Salgado de São Félix";93;75;124;"SIM";124;"ALCANÇOU"
"PB";251315;"Santa Cecília";51;43;119;"SIM";119;"ALCANÇOU"
"PB";251320;"Santa Cruz";50;41;122;"SIM";122;"ALCANÇOU"
"PB";251330;"Santa Helena";48;42;114;"SIM";114;"ALCANÇOU"
"PB";251335;"Santa Inês";14;18;78;"NÃO";78;"NÃO ALCANÇOU"
"PB";251340;"Santa Luzia";134;79;170;"SIM";170;"ALCANÇOU"
"PB";251350;"Santana de Mangueira";20;25;80;"NÃO";80;"NÃO ALCANÇOU"
"PB";251360;"Santana dos Garrotes";47;57;82;"NÃO";82;"NÃO ALCANÇOU"
"PB";251365;"Joca Claudino";7;11;64;"NÃO";64;"NÃO ALCANÇOU"
"PB";251370;"Santa Rita";1034;776;133;"SIM";133;"ALCANÇOU"
"PB";251380;"Santa Teresinha";39;32;122;"SIM";122;"ALCANÇOU"
"PB";251385;"Santo André";25;27;93;"SIM";93;"ALCANÇOU"
"PB";251390;"São Bento";164;227;72;"NÃO";72;"NÃO ALCANÇOU"
"PB";251392;"São Bentinho";21;17;124;"SIM";124;"ALCANÇOU"
"PB";251394;"São Domingos do Cariri";25;12;208;"SIM";208;"ALCANÇOU"
"PB";251396;"São Domingos";12;26;46;"NÃO";46;"NÃO ALCANÇOU"
"PB";251398;"São Francisco";39;23;170;"SIM";170;"ALCANÇOU"
"PB";251400;"São João do Cariri";30;17;176;"SIM";176;"ALCANÇOU"
"PB";251410;"São João do Tigre";25;23;109;"SIM";109;"ALCANÇOU"
"PB";251420;"São José da Lagoa Tapada";55;46;120;"SIM";120;"ALCANÇOU"
"PB";251430;"São José de Caiana";32;32;100;"SIM";100;"ALCANÇOU"
