"UF";"IBGE";"Município";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"PA";150510;"Óbidos";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150520;"Oeiras do Pará";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150530;"Oriximiná";;1;1;100;100;"ALCANÇOU"
"PA";150540;"Ourém";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150543;"Ourilândia do Norte";;1;2;50;50;"NÃO ALCANÇOU"
"PA";150548;"Pacajá";;1;1;100;100;"ALCANÇOU"
"PA";150549;"Palestina do Pará";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150550;"Paragominas";;1;1;100;100;"ALCANÇOU"
"PA";150553;"Parauapebas";;4;4;100;100;"ALCANÇOU"
"PA";150555;"Pau D'Arco";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150560;"Peixe-Boi";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150563;"Piçarra";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150565;"Placas";;1;1;100;100;"ALCANÇOU"
"PA";150570;"Ponta de Pedras";;1;2;50;50;"NÃO ALCANÇOU"
"PA";150580;"Portel";;13;14;92,8571428571429;92,9;"ALCANÇOU"
"PA";150590;"Porto de Moz";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150600;"Prainha";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150610;"Primavera";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150611;"Quatipuru";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150613;"Redenção";;4;5;80;80;"ALCANÇOU"
"PA";150616;"Rio Maria";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150618;"Rondon do Pará";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150619;"Rurópolis";;0;1;0;0;"NÃO ALCANÇOU"
"PA";150620;"Salinópolis";;1;2;50;50;"NÃO ALCANÇOU"
"PA";150630;"Salvaterra";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150635;"Santa Bárbara do Pará";;3;3;100;100;"ALCANÇOU"
"PA";150640;"Santa Cruz do Arari";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150650;"Santa Izabel do Pará";;1;1;100;100;"ALCANÇOU"
"PA";150655;"Santa Luzia do Pará";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150658;"Santa Maria das Barreiras";;1;1;100;100;"ALCANÇOU"
"PA";150660;"Santa Maria do Pará";;1;1;100;100;"ALCANÇOU"
"PA";150670;"Santana do Araguaia";;1;1;100;100;"ALCANÇOU"
"PA";150680;"Santarém";;1;2;50;50;"NÃO ALCANÇOU"
"PA";150690;"Santarém Novo";;1;1;100;100;"ALCANÇOU"
"PA";150700;"Santo Antônio do Tauá";;2;2;100;100;"ALCANÇOU"
"PA";150710;"São Caetano de Odivelas";;1;2;50;50;"NÃO ALCANÇOU"
"PA";150715;"São Domingos do Araguaia";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150720;"São Domingos do Capim";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150730;"São Félix do Xingu";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150740;"São Francisco do Pará";;1;1;100;100;"ALCANÇOU"
"PA";150745;"São Geraldo do Araguaia";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150746;"São João da Ponta";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150747;"São João de Pirabas";;2;2;100;100;"ALCANÇOU"
"PA";150750;"São João do Araguaia";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150760;"São Miguel do Guamá";;0;1;0;0;"NÃO ALCANÇOU"
"PA";150770;"São Sebastião da Boa Vista";;3;3;100;100;"ALCANÇOU"
"PA";150775;"Sapucaia";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150780;"Senador José Porfírio";;1;1;100;100;"ALCANÇOU"
"PA";150790;"Soure";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150795;"Tailândia";;3;3;100;100;"ALCANÇOU"
"PA";150796;"Terra Alta";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150797;"Terra Santa";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150800;"Tomé-Açu";;2;2;100;100;"ALCANÇOU"
"PA";150803;"Tracuateua";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150805;"Trairão";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150808;"Tucumã";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150810;"Tucuruí";;1;1;100;100;"ALCANÇOU"
"PA";150812;"Ulianópolis";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150815;"Uruará";;1;1;100;100;"ALCANÇOU"
"PA";150820;"Vigia";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150830;"Viseu";"X";0;0;;;"NÃO ALCANÇOU"
"PA";150835;"Vitória do Xingu";;1;1;100;100;"ALCANÇOU"
